"Civic Tech Organization",Investor1,"Investor Type","Investment Type","Investment Date2","Investment Round - Total Funding3","Individual Investor Funding (if disclosed)","Investment Round"
"FOIA Machine (Center for Investigative Reporting)","John S. and James L. Knight Foundation",Foundation,Grant,2012/11/09,46000,,"Center for Investigative Reporting, Inc. Awarded John S. and James L. Knight Foundation Grant"
"FOIA Machine (Center for Investigative Reporting)",Overall,NA,Grant,2012/11/09,46000,46000,"Center for Investigative Reporting, Inc. Awarded John S. and James L. Knight Foundation Grant"
"FOIA Machine (Center for Investigative Reporting)",Overall,NA,Grant,2013/11/21,150000,150000,"Center for Investigative Reporting, Inc. Awarded The William and Flora Hewlett Foundation"
"FOIA Machine (Center for Investigative Reporting)","The William and Flora Hewlett Foundation",Foundation,Grant,2013/11/21,150000,,"Center for Investigative Reporting, Inc. Awarded The William and Flora Hewlett Foundation"
"Frontline SMS","John S. and James L. Knight Foundation",Foundation,Grant,2011/06/23,250000,,"Kiwanja Foundation Awarded John S. and James L. Knight Foundation Grant"
"Frontline SMS",Overall,NA,Grant,2011/06/23,250000,250000,"Kiwanja Foundation Awarded John S. and James L. Knight Foundation Grant"
"Fundacion Ciudadano Inteligente","Omidyar Network Commons LLC",Financial,Grant,2011/09/15,500000,,"Fundacion Ciudadano Inteligente Awarded Omidyar Network Commons LLC Grant"
"Fundacion Ciudadano Inteligente",Overall,NA,Grant,2011/09/15,500000,500000,"Fundacion Ciudadano Inteligente Awarded Omidyar Network Commons LLC Grant"
"Fundacion Poderomedia (Poderopedia)",Overall,NA,Grant,2012/01/01,,,"Fundacion Poderomedia (Poderopedia) Awarded Startup Chile Grant"
"Fundacion Poderomedia (Poderopedia)","Startup Chile",Other,Grant,2012/01/01,,,"Fundacion Poderomedia (Poderopedia) Awarded Startup Chile Grant"
"Fundacion Poderomedia (Poderopedia)","Knight Fellowship",Foundation,Grant,2013/01/01,,,"Fundacion Poderomedia (Poderopedia) Awarded Knight Fellowship Grant"
"Fundacion Poderomedia (Poderopedia)",Overall,NA,Grant,2013/01/01,,,"Fundacion Poderomedia (Poderopedia) Awarded Knight Fellowship Grant"
"Fundacja ePaÅ„stwo","Omidyar Network Commons LLC",Financial,Grant,2011/01/01,200000,,"Fundacja ePaÅ„stwo Awarded Omidyar Network Commons LLC Grant"
"Fundacja ePaÅ„stwo",Overall,NA,Grant,2011/01/01,200000,200000,"Fundacja ePaÅ„stwo Awarded Omidyar Network Commons LLC Grant"
"Getaround, Inc.",Overall,NA,Grant,2011/05/25,50000,50000,"Gettaround, Inc. Wins TechCrunch Disrupt NYC 2011"
"Getaround, Inc.","TechCrunch Disrupt",Financial,Grant,2011/05/25,50000,,"Gettaround, Inc. Wins TechCrunch Disrupt NYC 2011"
"Getaround, Inc.","Adam Schwartz",Person,"Private Investment",2011/09/09,3400000,,"Gettaround, Inc. Seed Investment"
"Getaround, Inc.","Angus Davis",Person,"Private Investment",2011/09/09,3400000,,"Gettaround, Inc. Seed Investment"
"Getaround, Inc.","Aviv (Vivi) Nevo",Person,"Private Investment",2011/09/09,3400000,,"Gettaround, Inc. Seed Investment"
"Getaround, Inc.","Barney Pell",Person,"Private Investment",2011/09/09,3400000,,"Gettaround, Inc. Seed Investment"
"Getaround, Inc.","Brian Shire",Person,"Private Investment",2011/09/09,3400000,,"Gettaround, Inc. Seed Investment"
"Getaround, Inc.","Bruno Bowden",Person,"Private Investment",2011/09/09,3400000,,"Gettaround, Inc. Seed Investment"
"Getaround, Inc.",CrunchFund,Financial,"Private Investment",2011/09/09,3400000,,"Gettaround, Inc. Seed Investment"
"Getaround, Inc.","Fabrice Grinda",Person,"Private Investment",2011/09/09,3400000,,"Gettaround, Inc. Seed Investment"
"Getaround, Inc.","Farhad Mohit",Person,"Private Investment",2011/09/09,3400000,,"Gettaround, Inc. Seed Investment"
"Getaround, Inc.","General Catalyst Partners, LLC",Financial,"Private Investment",2011/09/09,3400000,,"Gettaround, Inc. Seed Investment"
"Getaround, Inc.","Ken Keller",Person,"Private Investment",2011/09/09,3400000,,"Gettaround, Inc. Seed Investment"
"Getaround, Inc.","Lucas Nealan",Person,"Private Investment",2011/09/09,3400000,,"Gettaround, Inc. Seed Investment"
"Getaround, Inc.","Madrona Venture Group, LLC",Financial,"Private Investment",2011/09/09,3400000,,"Gettaround, Inc. Seed Investment"
"Getaround, Inc.","Marc Randolph",Person,"Private Investment",2011/09/09,3400000,,"Gettaround, Inc. Seed Investment"
"Getaround, Inc.","Matt Mullenweg",Person,"Private Investment",2011/09/09,3400000,,"Gettaround, Inc. Seed Investment"
"Getaround, Inc.",Overall,NA,"Private Investment",2011/09/09,3400000,3400000,"Gettaround, Inc. Seed Investment"
"Getaround, Inc.","Redpoint Ventures LLC",Financial,"Private Investment",2011/09/09,3400000,,"Gettaround, Inc. Seed Investment"
"Getaround, Inc.","Simon Rothman",Person,"Private Investment",2011/09/09,3400000,,"Gettaround, Inc. Seed Investment"
"Getaround, Inc.","Thomas McInerney",Person,"Private Investment",2011/09/09,3400000,,"Gettaround, Inc. Seed Investment"
"Getaround, Inc.",Overall,NA,Grant,2011/12/13,1725000,1725000,"Getaround, Inc. Awarded U.S. Department of Transportation Grant"
"Getaround, Inc.","U.S. Department of Transportation",Other,Grant,2011/12/13,1725000,,"Getaround, Inc. Awarded U.S. Department of Transportation Grant"
"Getaround, Inc.","A-Grade Investments",Financial,"Private Investment",2012/08/02,13900000,,"Getaround, Inc. Series A"
"Getaround, Inc.","Ashton Kutcher",Person,"Private Investment",2012/08/02,13900000,,"Getaround, Inc. Series A"
"Getaround, Inc.","Bobby Yazdani",Person,"Private Investment",2012/08/02,13900000,,"Getaround, Inc. Series A"
"Getaround, Inc.","Collaborative Fund",Financial,"Private Investment",2012/08/02,13900000,,"Getaround, Inc. Series A"
"Getaround, Inc.","Correlation Ventures",Financial,"Private Investment",2012/08/02,13900000,,"Getaround, Inc. Series A"
"Getaround, Inc.","Dan Martell",Person,"Private Investment",2012/08/02,13900000,,"Getaround, Inc. Series A"
"Getaround, Inc.","David Sacks",Person,"Private Investment",2012/08/02,13900000,,"Getaround, Inc. Series A"
"Getaround, Inc.","Innovation Endeavors",Financial,"Private Investment",2012/08/02,13900000,,"Getaround, Inc. Series A"
"Getaround, Inc.","Juan Diego Calle",Person,"Private Investment",2012/08/02,13900000,,"Getaround, Inc. Series A"
"Getaround, Inc.","Marissa Mayer",Person,"Private Investment",2012/08/02,13900000,,"Getaround, Inc. Series A"
"Getaround, Inc.","Matias De Tezanos",Person,"Private Investment",2012/08/02,13900000,,"Getaround, Inc. Series A"
"Getaround, Inc.","Menlo Ventures",Financial,"Private Investment",2012/08/02,13900000,,"Getaround, Inc. Series A"
"Getaround, Inc.",Overall,NA,"Private Investment",2012/08/02,13900000,13900000,"Getaround, Inc. Series A"
"Getaround, Inc.","Sam Shank",Person,"Private Investment",2012/08/02,13900000,,"Getaround, Inc. Series A"
"Getaround, Inc.","Sean Oâ€™Sullivan",Person,"Private Investment",2012/08/02,13900000,,"Getaround, Inc. Series A"
"Glassy Media, LLC","John S. and James L. Knight Foundation",Foundation,Grant,2012/08/01,240421,,"Glassy Media, LLC Awarded John S. and James L. Knight Foundation Grant"
"Glassy Media, LLC",Overall,NA,Grant,2012/08/01,240421,240421,"Glassy Media, LLC Awarded John S. and James L. Knight Foundation Grant"
"GOOD Worldwide, LLC","Bill & Melinda Gates Foundation Trust",Foundation,Grant,2012/11/01,992777,,"GOOD Worldwide, LLC Awarded Bill & Melinda Gates Foundation Trust Grant"
"GOOD Worldwide, LLC",Overall,NA,Grant,2012/11/01,992777,992777,"GOOD Worldwide, LLC Awarded Bill & Melinda Gates Foundation Trust Grant"
"Granicus, Inc.",Overall,NA,"Private Investment",2012/03/14,15003,15003,"Granicus, Inc. Private Investment"
"GreenInfo Network (Park Info)","California Strategic Growth Council",Other,Grant,2012/12/31,,,"GreenInfo Network (Park Info) Awarded California Strategic Growth Council and USGS Gap Analysis Program (GAP) Grant"
"GreenInfo Network (Park Info)",Overall,NA,Grant,2012/12/31,,,"GreenInfo Network (Park Info) Awarded California Strategic Growth Council and USGS Gap Analysis Program (GAP) Grant"
"GreenInfo Network (Park Info)","USGS Gap Analysis Program (GAP)",Other,Grant,2012/12/31,,,"GreenInfo Network (Park Info) Awarded California Strategic Growth Council and USGS Gap Analysis Program (GAP) Grant"
"Grubwithus Inc.",Overall,NA,"Private Investment",2011/01/03,17000,17000,"Grubwithus Inc. Seed Investment"
"Grubwithus Inc.","Y Combinator, LLC",Financial,"Private Investment",2011/01/03,17000,17000,"Grubwithus Inc. Seed Investment"
"Grubwithus Inc.","Alexis Ohanian",Person,"Private Investment",2011/05/06,1600000,,"Grubwithus Inc. Seed Investment"
"Grubwithus Inc.","Andreessen Horowitz Fund",Financial,"Private Investment",2011/05/06,1600000,,"Grubwithus Inc. Seed Investment"
"Grubwithus Inc.","Ashton Kutcher",Person,"Private Investment",2011/05/06,1600000,,"Grubwithus Inc. Seed Investment"
"Grubwithus Inc.","Aviv (Vivi) Nevo",Person,"Private Investment",2011/05/06,1600000,,"Grubwithus Inc. Seed Investment"
"Grubwithus Inc.","Elad Gil",Person,"Private Investment",2011/05/06,1600000,,"Grubwithus Inc. Seed Investment"
"Grubwithus Inc.","First Round Capital",Financial,"Private Investment",2011/05/06,1600000,,"Grubwithus Inc. Seed Investment"
"Grubwithus Inc.","Guy Oseary",Person,"Private Investment",2011/05/06,1600000,,"Grubwithus Inc. Seed Investment"
"Grubwithus Inc.","Matt Cutts",Person,"Private Investment",2011/05/06,1600000,,"Grubwithus Inc. Seed Investment"
"Grubwithus Inc.","Maynard Webb",Person,"Private Investment",2011/05/06,1600000,,"Grubwithus Inc. Seed Investment"
"Grubwithus Inc.","New Enterprise Associates, Inc.",Financial,"Private Investment",2011/05/06,1600000,,"Grubwithus Inc. Seed Investment"
"Grubwithus Inc.",Overall,NA,"Private Investment",2011/05/06,1600000,1600000,"Grubwithus Inc. Seed Investment"
"Grubwithus Inc.","Paul Buchheit",Person,"Private Investment",2011/05/06,1600000,,"Grubwithus Inc. Seed Investment"
"Grubwithus Inc.","Start Fund LLC",Financial,"Private Investment",2011/05/06,1600000,,"Grubwithus Inc. Seed Investment"
"Grubwithus Inc.","SV Angel",Financial,"Private Investment",2011/05/06,1600000,,"Grubwithus Inc. Seed Investment"
"Grubwithus Inc.","Yuri Milner",Person,"Private Investment",2011/05/06,1600000,,"Grubwithus Inc. Seed Investment"
"Grubwithus Inc.",Overall,NA,"Private Investment",2011/08/01,150000,150000,"GrubWithUs Inc. Private Investment"
"Grubwithus Inc.","Start Fund LLC",Financial,"Private Investment",2011/08/01,150000,150000,"GrubWithUs Inc. Private Investment"
"Grubwithus Inc.","SV Angel",Financial,"Private Investment",2011/08/01,150000,,"GrubWithUs Inc. Private Investment"
"Grubwithus Inc.","GRP Partners",Financial,"Private Investment",2012/05/15,7760573,,"Grubwithus Inc. Series A"
"Grubwithus Inc.","Michel Daher",Person,"Private Investment",2012/05/15,7760573,,"Grubwithus Inc. Series A"
"Grubwithus Inc.",Overall,NA,"Private Investment",2012/05/15,7760573,7760573,"Grubwithus Inc. Series A"
"Hollaback, Inc.","John S. and James L. Knight Foundation",Foundation,Grant,2013/03/03,40000,,"Hollaback, Inc. Awarded John S. and James L. Knight Foundation Grant"
"Hollaback, Inc.",Overall,NA,Grant,2013/03/03,40000,40000,"Hollaback, Inc. Awarded John S. and James L. Knight Foundation Grant"
"Hunt Solutions, LLC","Center for Innovative Technology",Financial,"Private Investment",2012/02/29,,,"Hunt Solutions, LLC Private Investment"
"Hunt Solutions, LLC",Overall,NA,"Private Investment",2012/02/29,,,"Hunt Solutions, LLC Private Investment"
"iCarsclub Pte. Ltd.",Overall,NA,"Private Investment",2013/03/08,482000,482000,"iCarsclub Pte. Ltd. Seed Investment"
"iCarsclub Pte. Ltd.","Red Dot Ventures Pte Ltd",Financial,"Private Investment",2013/03/08,482000,,"iCarsclub Pte. Ltd. Seed Investment"
"In Our Backyards, Inc.","Kresge Foundation",Foundation,Grant,02/15/2011,50000,50000,"In Our Backyards, Inc. Grant"
"In Our Backyards, Inc.","North Star Fund",Foundation,Grant,04/05/2011,10000,10000,"In Our Backyards, Inc. Grant"
"In Our Backyards, Inc.","Waterwheel Foundation",Foundation,Grant,04/05/2011,7512,7512,"In Our Backyards, Inc. Grant"
"In Our Backyards, Inc.","Lily Auchincloss Foundation",Foundation,Grant,05/23/2011,10000,10000,"In Our Backyards, Inc. Grant"
"In Our Backyards, Inc.","Frances Lear Foudnation",Foundation,Grant,10/03/2011,10000,10000,"In Our Backyards, Inc. Grant"
"In Our Backyards, Inc.","The Fledging Fund",Foundation,Grant,10/03/2011,15000,15000,"In Our Backyards, Inc. Grant"
"In Our Backyards, Inc.","Deustche Bank Americas Foundation",Foundation,Grant,11/30/2011,15000,15000,"In Our Backyards, Inc. Grant"
"In Our Backyards, Inc.","Mertz Gilmore Foundation",Foundation,Grant,11/30/2011,42500,42500,"In Our Backyards, Inc. Grant"
"In Our Backyards, Inc.","Ittleson Foundation",Foundation,Grant,12/06/2011,5000,5000,"In Our Backyards, Inc. Grant"
"In Our Backyards, Inc.","Overbrook Foundation",Foundation,Grant,12/30/2011,50000,50000,"In Our Backyards, Inc. Grant"
"In Our Backyards, Inc.","Anderson-Rogers Foundation",Foundation,Grant,03/15/2012,10000,10000,"In Our Backyards, Inc. Grant"
"In Our Backyards, Inc.","Claneil Foundation",Foundation,Grant,06/21/2012,60000,60000,"In Our Backyards, Inc. Grant"
"In Our Backyards, Inc.","Johnson Ohana Charitable Foundation",Foundation,Grant,07/06/2012,4000,4000,"In Our Backyards, Inc. Grant"
"In Our Backyards, Inc.","The Funders Network for Smart Growth and Livable Communities",Foundation,Grant,10/25/2012,32500,32500,"In Our Backyards, Inc. Grant"
"In Our Backyards, Inc.","Rockefeller Foundation",Foundation,Grant,11/06/2012,25000,25000,"In Our Backyards, Inc. Grant"
"In Our Backyards, Inc.","The Frances Lear Foundation",Foundation,Grant,11/13/2012,10000,10000,"In Our Backyards, Inc. Grant"
"In Our Backyards, Inc.","The Edward S. Moore Family Foundation",Foundation,Grant,11/14/2012,10000,10000,"In Our Backyards, Inc. Grant"
"In Our Backyards, Inc.","Overbrook Foundation",Foundation,Grant,12/10/2012,50000,50000,"In Our Backyards, Inc. Grant"
"In Our Backyards, Inc.","HFSF Grants Management, Inc",Foundation,Grant,06/05/2013,75000,75000,"In Our Backyards, Inc. Grant"
"In Our Backyards, Inc.","Claneil Foundation",Foundation,Grant,06/13/2013,50000,50000,"In Our Backyards, Inc. Grant"
"In Our Backyards, Inc.","The Funders Network for Smart Growth and Livable Communities",Foundation,Grant,08/08/2013,32500,32500,"In Our Backyards, Inc. Grant"
"In Our Backyards, Inc.","Overbrook Foundation",Foundation,Grant,12/04/2013,50000,50000,"In Our Backyards, Inc. Grant"
"In Our Backyards, Inc.","The Frances Lear Foundation",Foundation,Grant,12/25/2013,10000,10000,"In Our Backyards, Inc. Grant"
"InfoNET Kenya","Omidyar Network Commons LLC",Financial,Grant,2011/01/01,100000,,"InfoNET Kenya Awarded Omidyar Network Commons LLC Grant"
"InfoNET Kenya",Overall,NA,Grant,2011/01/01,100000,100000,"InfoNET Kenya Awarded Omidyar Network Commons LLC Grant"
"iWillPark, Inc.",Overall,NA,"Private Investment",2011/09/01,46000,46000,"iWillPark, Inc. Early Round"
"Janaagraha Centre for Citizenship and Democracy","Bennett, Coleman & Co. Ltd",Corporate,Grant,2011/01/01,30738,,"Janaagraha Centre for Citizenship and Democracy Awarded Bennett, Coleman & Co. Ltd Grant"
"Janaagraha Centre for Citizenship and Democracy","Dell Inc.",Corporate,Grant,2011/01/01,16871,,"Janaagraha Centre for Citizenship and Democracy Awarded Dell Inc. Grant"
"Janaagraha Centre for Citizenship and Democracy",Overall,NA,Grant,2011/01/01,2930,2930,"Janaagraha Centre for Citizenship and Democracy Awarded United Nations Development Programme Grant"
"Janaagraha Centre for Citizenship and Democracy",Overall,NA,Grant,2011/01/01,11267,11267,"Janaagraha Centre for Citizenship and Democracy Awarded Ramanathan Foundation Grant"
"Janaagraha Centre for Citizenship and Democracy",Overall,NA,Grant,2011/01/01,16871,16871,"Janaagraha Centre for Citizenship and Democracy Awarded Dell Inc. Grant"
"Janaagraha Centre for Citizenship and Democracy",Overall,NA,Grant,2011/01/01,28200,28200,"Janaagraha Centre for Citizenship and Democracy Awarded Pirojsha Godrej Foundation Grant"
"Janaagraha Centre for Citizenship and Democracy",Overall,NA,Grant,2011/01/01,91424,91424,"Janaagraha Centre for Citizenship and Democracy Awarded Ruane, Cunniff & Goldfarb Inc. Grant"
"Janaagraha Centre for Citizenship and Democracy",Overall,NA,Grant,2011/01/01,30738,30738,"Janaagraha Centre for Citizenship and Democracy Awarded Bennett, Coleman & Co. Ltd Grant"
"Janaagraha Centre for Citizenship and Democracy","Pirojsha Godrej Foundation",Foundation,Grant,2011/01/01,28200,,"Janaagraha Centre for Citizenship and Democracy Awarded Pirojsha Godrej Foundation Grant"
"Janaagraha Centre for Citizenship and Democracy","Ramanathan Foundation",Foundation,Grant,2011/01/01,11267,,"Janaagraha Centre for Citizenship and Democracy Awarded Ramanathan Foundation Grant"
"Janaagraha Centre for Citizenship and Democracy","Ruane, Cunniff & Goldfarb Inc.",Financial,Grant,2011/01/01,91424,,"Janaagraha Centre for Citizenship and Democracy Awarded Ruane, Cunniff & Goldfarb Inc. Grant"
"Janaagraha Centre for Citizenship and Democracy","United Nations Development Programme",Other,Grant,2011/01/01,2930,,"Janaagraha Centre for Citizenship and Democracy Awarded United Nations Development Programme Grant"
"Janaagraha Centre for Citizenship and Democracy","Dell Inc.",Corporate,Grant,2012/04/01,,,"Janaagraha Centre for Citizenship and Democracy Awarded Dell Inc. Grant"
"Janaagraha Centre for Citizenship and Democracy",Overall,NA,Grant,2012/04/01,,,"Janaagraha Centre for Citizenship and Democracy Awarded Dell Inc. Grant"
"Janaagraha Centre for Citizenship and Democracy","Bangalore City Connect Foundation",Foundation,Grant,2012/08/16,255210,,"Janaagraha Centre for Citizenship and Democracy Awarded Bangalore City Connect Foundation Grant"
"Janaagraha Centre for Citizenship and Democracy",Overall,NA,Grant,2012/08/16,255210,255210,"Janaagraha Centre for Citizenship and Democracy Awarded Bangalore City Connect Foundation Grant"
"Janaagraha Centre for Citizenship and Democracy","Dell Inc.",Corporate,Grant,2013/04/01,,,"Janaagraha Centre for Citizenship and Democracy Awarded Dell Inc. Grant"
"Janaagraha Centre for Citizenship and Democracy",HSBC,Financial,Grant,2013/04/01,,,"Janaagraha Centre for Citizenship and Democracy Awarded HSBC Grant"
"Janaagraha Centre for Citizenship and Democracy",Overall,NA,Grant,2013/04/01,,,"Janaagraha Centre for Citizenship and Democracy Awarded Dell Inc. Grant"
"Janaagraha Centre for Citizenship and Democracy",Overall,NA,Grant,2013/04/01,,,"Janaagraha Centre for Citizenship and Democracy Awarded HSBC Grant"
"Janaagraha Centre for Citizenship and Democracy",Overall,NA,Grant,2013/08/01,,,"Janaagraha Centre for Citizenship and Democracy Awarded Prestige Constructions Grant"
"Janaagraha Centre for Citizenship and Democracy","Prestige Constructions",Other,Grant,2013/08/01,,,"Janaagraha Centre for Citizenship and Democracy Awarded Prestige Constructions Grant"
"Jayride Technology Pty Ltd","Andrey Shirben",Person,"Private Investment",2012/02/21,429840,53730,"Jayride Technology Pty Ltd Seed Investment"
"Jayride Technology Pty Ltd",Overall,NA,"Private Investment",2012/02/21,429840,429840,"Jayride Technology Pty Ltd Seed Investment"
"Judicata, Inc.","Aaron Levie",Person,"Private Investment",2012/12/11,2000000,,"Judicata, Inc. Private Investment"
"Judicata, Inc.","David Lee",Person,"Private Investment",2012/12/11,2000000,,"Judicata, Inc. Private Investment"
"Judicata, Inc.","Dylan Smith",Person,"Private Investment",2012/12/11,2000000,,"Judicata, Inc. Private Investment"
"Judicata, Inc.","Keith Rabois",Person,"Private Investment",2012/12/11,2000000,,"Judicata, Inc. Private Investment"
"Judicata, Inc.",Overall,NA,"Private Investment",2012/12/11,2000000,2000000,"Judicata, Inc. Private Investment"
"Judicata, Inc.","Peter Thiel",Person,"Private Investment",2012/12/11,2000000,,"Judicata, Inc. Private Investment"
"Jumo International, Inc.",Overall,NA,Grant,2011/01/01,250000,250000,"Jumo International, Inc. Awarded The Rockefeller Foundation Grant"
"Jumo International, Inc.","The Rockefeller Foundation",Foundation,Grant,2011/01/01,250000,,"Jumo International, Inc. Awarded The Rockefeller Foundation Grant"
"Junar, Inc.","Aurus S.A.",Financial,"Private Investment",2012/05/30,1200000,,"Junar, Inc. Private Investment"
"Junar, Inc.","Austral Capital",Financial,"Private Investment",2012/05/30,1200000,,"Junar, Inc. Private Investment"
"Junar, Inc.",Overall,NA,"Private Investment",2012/05/30,1200000,1200000,"Junar, Inc. Private Investment"
"Kiva Microfunds",Overall,NA,Grant,2011/01/01,50000,50000,"Kiva Microfunds Awarded The Rockefeller Foundation Grant"
"Kiva Microfunds","The Rockefeller Foundation",Foundation,Grant,2011/01/01,50000,,"Kiva Microfunds Awarded The Rockefeller Foundation Grant"
"Kiva Microfunds",Overall,NA,"Private Investment",2012/03/13,1000000,,"Kiva Microfunds Seed Investment"
"Kiva Microfunds","Google Inc.",Corporate,Grant,2013/12/20,3000000,,"Kiva Microfunds Awarded Google Global Impact Award Grant"
"Kiva Microfunds",Overall,NA,Grant,2013/12/20,3000000,3000000,"Kiva Microfunds Awarded Google Global Impact Award Grant"
LegCyte,"Fortify Ventures LLC",Financial,"Private Investment",2013/02/11,25000,,"LegCyte Seed Investment"
LegCyte,Overall,NA,"Private Investment",2013/02/11,25000,25000,"LegCyte Seed Investment"
"Leihdirwas GmbH","Business Angels Region Stuttgart e.V.",Financial,"Private Investment",2012/04/19,,,"Leihdirwas GmbH Private Investment"
"Leihdirwas GmbH",Overall,NA,"Private Investment",2012/04/19,,,"Leihdirwas GmbH Private Investment"
"Lenddo.com, Inc.","FinTech Innovation Lab, LLC",Financial,"Private Investment",2011/04/22,25000,25000,"Lenddo.com, Inc. Seed Investment"
"Lenddo.com, Inc.",Overall,NA,"Private Investment",2011/04/22,25000,25000,"Lenddo.com, Inc. Seed Investment"
"Lenddo.com, Inc.","Accel Partners L.P.",Financial,"Private Investment",2012/05/14,8000000,,"Lenddo.com, Inc. Series A"
"Lenddo.com, Inc.","Barry Silbert",Person,"Private Investment",2012/05/14,8000000,,"Lenddo.com, Inc. Series A"
"Lenddo.com, Inc.","Blumberg Capital",Financial,"Private Investment",2012/05/14,8000000,,"Lenddo.com, Inc. Series A"
"Lenddo.com, Inc.","David Kidder",Person,"Private Investment",2012/05/14,8000000,,"Lenddo.com, Inc. Series A"
"Lenddo.com, Inc.","Geoff Judge",Person,"Private Investment",2012/05/14,8000000,,"Lenddo.com, Inc. Series A"
"Lenddo.com, Inc.","iNovia Capital Inc.",Financial,"Private Investment",2012/05/14,8000000,,"Lenddo.com, Inc. Series A"
"Lenddo.com, Inc.","Metamorphic Ventures LLC",Financial,"Private Investment",2012/05/14,8000000,,"Lenddo.com, Inc. Series A"
"Lenddo.com, Inc.","Omidyar Network Commons LLC",Financial,"Private Investment",2012/05/14,8000000,,"Lenddo.com, Inc. Series A"
"Lenddo.com, Inc.",Overall,NA,"Private Investment",2012/05/14,8000000,8000000,"Lenddo.com, Inc. Series A"
"Lenddo.com, Inc.","Scott Heiferman",Person,"Private Investment",2012/05/14,8000000,,"Lenddo.com, Inc. Series A"
"Lenddo.com, Inc.","Golden Gate Ventures",Financial,"Private Investment",2013/10/16,6000000,,"Lenddo.com, Inc. Private Investment"
"Lenddo.com, Inc.","Kickstart Ventures",Financial,"Private Investment",2013/10/16,6000000,,"Lenddo.com, Inc. Private Investment"
"Lenddo.com, Inc.",Overall,NA,"Private Investment",2013/10/16,6000000,6000000,"Lenddo.com, Inc. Private Investment"
"Living Cities, Inc.","John S. and James L. Knight Foundation",Foundation,Grant,2012/07/01,250000,,"Living Cities, Inc. Awarded John S. and James L. Knight Foundation Grant"
"Living Cities, Inc.",Overall,NA,Grant,2012/07/01,250000,250000,"Living Cities, Inc. Awarded John S. and James L. Knight Foundation Grant"
"LocalCircles India Private Limited","Nadir Godrej",Person,"Private Investment",2013/03/18,,,"LocalCircles India Private Limited Private Investment"
"LocalCircles India Private Limited",Overall,NA,"Private Investment",2013/03/18,,,"LocalCircles India Private Limited Private Investment"
Localocracy,"John S. and James L. Knight Foundation",Foundation,Grant,2011/01/01,150000,,"Cabj Liquidation LLC Awarded John S. and James L. Knight Foundation Grant"
Localocracy,Overall,NA,Grant,2011/01/01,150000,150000,"Cabj Liquidation LLC Awarded John S. and James L. Knight Foundation Grant"
"Marinexplore, Inc.","Fredrik Astrup",Person,"Private Investment",2012/10/17,,,"Marinexplore, Inc. Seed Investment"
"Marinexplore, Inc.","InterTrust Technologies Corp.",Corporate,"Private Investment",2012/10/17,,,"Marinexplore, Inc. Seed Investment"
"Marinexplore, Inc.","Ivar Siimar",Person,"Private Investment",2012/10/17,,,"Marinexplore, Inc. Seed Investment"
"Marinexplore, Inc.","Lars Erik Baustad",Person,"Private Investment",2012/10/17,,,"Marinexplore, Inc. Seed Investment"
"Marinexplore, Inc.","Marek Kiisa",Person,"Private Investment",2012/10/17,,,"Marinexplore, Inc. Seed Investment"
"Marinexplore, Inc.",Overall,NA,"Private Investment",2012/10/17,,,"Marinexplore, Inc. Seed Investment"
"Mideast Youth","Omidyar Network Commons LLC",Financial,Grant,2011/09/15,600000,,"Mideast Youth awarded Omidyar Network Grant"
"Mideast Youth",Overall,Foundation,Grant,2011/09/15,600000,600000,"Mideast Youth awarded Omidyar Network Grant"
"Mideast Youth","Ashoka Changemakers",Financial,Grant,2011/11/29,5000,,"Mideast Youth awarded Omidyar Network Grant"
"Mideast Youth",Overall,Foundation,Grant,2011/11/29,5000,5000,"Mideast Youth Awarded Ashoka Changemakers Grant"
MindMixer,"Dundee Venture Capital",Financial,"Private Investment",2012/04/04,1900000,1900000,"Socialmentum, LLC Series A"
MindMixer,Overall,NA,"Private Investment",2012/04/04,1900000,1900000,"Socialmentum, LLC Series A"
MindMixer,"Code for America Labs, Inc.",Foundation,Grant,2012/08/03,25000,,"Socialmentum, LLC Awarded Code for America Labs, Inc. Grant"
MindMixer,Overall,NA,Grant,2012/08/03,25000,25000,"Socialmentum, LLC Awarded Code for America Labs, Inc. Grant"
MindMixer,"Dundee Venture Capital",Financial,"Private Investment",2013/05/01,4000000,,"Socialmentum, LLC Series B"
MindMixer,"Nelnet, Inc.",Corporate,"Private Investment",2013/05/01,4000000,,"Socialmentum, LLC Series B"
MindMixer,"Optimas Group",Financial,"Private Investment",2013/05/01,4000000,,"Socialmentum, LLC Series B"
MindMixer,Overall,NA,"Private Investment",2013/05/01,4000000,4000000,"Socialmentum, LLC Series B"
"Minnesota E-Democracy","John S. and James L. Knight Foundation",Foundation,Grant,2011/12/12,625000,,"Minnesota E-Democracy Awarded John S. and James L. Knight Foundation Grant"
"Minnesota E-Democracy",Overall,NA,Grant,2011/12/12,625000,625000,"Minnesota E-Democracy Awarded John S. and James L. Knight Foundation Grant"
MuckRock,Overall,NA,Grant,2013/06/01,,,"MuckRock Awarded Sunlight Foundation"
MuckRock,"Sunlight Foundation",Foundation,Grant,2013/06/01,,,"MuckRock Awarded Sunlight Foundation"
MuckRock,"John S. and James L. Knight Foundation",Foundation,Grant,2013/12/17,25000,,"MuckRock Awarded John S. and James L. Knight Foundation Grant"
MuckRock,Overall,NA,Grant,2013/12/17,25000,25000,"MuckRock Awarded John S. and James L. Knight Foundation Grant"
